race_year,driver_name,driver_nationality,total_points
2020,Antonio Giovinazzi,Italian,4
2020,Valtteri Bottas,Finnish,223
2020,Carlos Sainz,Spanish,105
2020,George Russell,British,3
2020,Lance Stroll,Canadian,75
2020,Pierre Gasly,French,75
2020,Lando Norris,British,97
2020,Daniil Kvyat,Russian,32
2020,Kevin Magnussen,Danish,1
2020,Charles Leclerc,Monegasque,98
2020,Pietro Fittipaldi,Brazilian,0
2020,Kimi Räikkönen,Finnish,4
2020,Romain Grosjean,French,2
2020,Sebastian Vettel,German,33
2020,Nicholas Latifi,Canadian,0
2020,Jack Aitken,British,0
2020,Daniel Ricciardo,Australian,119
2020,Max Verstappen,Dutch,214
2020,Alexander Albon,Thai,105
2020,Esteban Ocon,French,62
2020,Lewis Hamilton,British,347
2020,Sergio Pérez,Mexican,125
2020,Nico Hülkenberg,German,10
